Date,Year,ISO Year,Month,Month Label,Week,Week Label,Day,Category,Item,Vendor,Vendor Location,District,Income/Expenses,Amount,Formatted Date,Outlier
2023-03-01,2023,2023,3,March,9,W9,Wednesday,Balance from Previous Month,February's Balance,Blank,Blank,Blank,Income,146.2,01/03/2023,False
2023-02-28,2023,2023,2,February,9,W9,Tuesday,Balance Adjustment,Balance Adjustment,Blank,Blank,Blank,Income,200.0,28/02/2023,False
2023-02-26,2023,2023,2,February,8,W8,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,26/02/2023,False
2023-02-10,2023,2023,2,February,6,W6,Friday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,10/02/2023,False
2023-02-01,2023,2023,2,February,5,W5,Wednesday,Balance from Previous Month,January's Balance,Blank,Blank,Blank,Income,123.0,01/02/2023,False
2023-01-31,2023,2023,1,January,5,W5,Tuesday,Balance Adjustment,Balance Adjustment,Blank,Blank,Blank,Income,100.0,31/01/2023,False
2023-01-20,2023,2023,1,January,3,W3,Friday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,20/01/2023,False
2023-01-07,2023,2023,1,January,1,W1,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,07/01/2023,False
2023-01-01,2023,2022,1,January,52,W52,Sunday,Balance from Previous Month,December's Balance,Blank,Blank,Blank,Income,216.4,01/01/2023,False
2022-12-13,2022,2022,12,December,50,W50,Tuesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,13/12/2022,False
2022-12-02,2022,2022,12,December,48,W48,Friday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,02/12/2022,False
2022-12-01,2022,2022,12,December,48,W48,Thursday,Balance from Previous Month,November's Balance,Blank,Blank,Blank,Income,108.2,01/12/2022,False
2022-11-30,2022,2022,11,November,48,W48,Wednesday,Balance Adjustment,Balance Adjustment,Blank,Blank,Blank,Income,100.0,30/11/2022,False
2022-11-19,2022,2022,11,November,46,W46,Saturday,Balance Adjustment,Balance Adjustment,Blank,Blank,Blank,Income,100.0,19/11/2022,False
2022-11-14,2022,2022,11,November,46,W46,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,14/11/2022,False
2022-11-02,2022,2022,11,November,44,W44,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,02/11/2022,False
2022-11-01,2022,2022,11,November,44,W44,Tuesday,Balance from Previous Month,October's Balance,Blank,Blank,Blank,Income,48.0,01/11/2022,False
